score,target,layer_id,scale,level,days,sample_count,mean_rank_ic,mean_spread,positive_day_rate
daily_pressure_score,target_30m_mean_proxy,8,30m,B35,20,4125912,0.002940680553541233,6.197674e-05,0.55
daily_pressure_score,target_30m_mean_proxy,6,15m,B50,20,4277753,0.005648249424535683,0.00013521682,0.75
daily_pressure_score,target_30m_mean_proxy,6,15m,B35,20,4282723,0.005973978461275699,0.00014151403,0.7
daily_pressure_score,target_30m_mean_proxy,6,30m,B50,20,3973270,0.0036771763949464352,6.7765075e-05,0.6
daily_pressure_score,target_30m_mean_proxy,6,30m,B35,20,3974270,0.0037316916945281677,6.890543e-05,0.6
daily_pressure_score,target_30m_mean_proxy,3,15m,B50,20,3917118,0.00036627167968948687,1.2482345e-05,0.6
daily_pressure_score,target_30m_mean_proxy,3,15m,B35,20,3923797,0.000916596988999661,2.5903366e-05,0.6
daily_pressure_score,target_30m_mean_proxy,3,30m,B50,20,3052001,0.003458102896039931,5.7027e-05,0.7
daily_pressure_score,target_30m_mean_proxy,3,30m,B35,20,3060820,0.0036250872058292637,6.0946215e-05,0.7
daily_pressure_score,target_30m_mean_proxy,11,15m,B50,20,2794270,0.0027152955000137187,7.4154035e-05,0.65
daily_pressure_score,target_30m_mean_proxy,11,15m,B35,20,2822139,0.003192102985230233,8.740854e-05,0.65
daily_pressure_score,target_30m_mean_proxy,11,30m,B50,20,2913428,0.0009334841668272418,-1.5337275e-05,0.5
daily_pressure_score,target_30m_mean_proxy,11,30m,B35,20,2915627,0.0010499660814013213,-1.247762e-05,0.5
daily_pressure_score,target_60m_mean_proxy,9,15m,B50,20,3116404,0.004739790352545223,0.00014241299,0.7
daily_pressure_score,target_60m_mean_proxy,9,15m,B35,20,3182674,0.005076056178871181,0.00015957118,0.7
daily_pressure_score,target_60m_mean_proxy,9,30m,B50,20,3939791,0.002801548889363767,9.491839e-05,0.65
daily_pressure_score,target_60m_mean_proxy,9,30m,B35,20,3941923,0.002840784195945824,9.7015996e-05,0.65
daily_pressure_score,target_60m_mean_proxy,8,15m,B50,20,3869679,0.00410654467645564,0.00012967619,0.65
daily_pressure_score,target_60m_mean_proxy,8,15m,B35,20,3877215,0.004469637125839436,0.00014177953,0.65
daily_pressure_score,target_60m_mean_proxy,8,30m,B50,20,3754172,0.00252809544074094,8.1599246e-05,0.65
daily_pressure_score,target_60m_mean_proxy,8,30m,B35,20,3757068,0.0025835303246473035,8.262794e-05,0.65
daily_pressure_score,target_60m_mean_proxy,6,15m,B50,20,3897083,0.004815516880275705,0.00016620735,0.65
daily_pressure_score,target_60m_mean_proxy,6,15m,B35,20,3902047,0.005004740186525272,0.00017184213,0.65
daily_pressure_score,target_60m_mean_proxy,6,30m,B50,20,3624163,0.003182282912872046,0.00010035416,0.65
daily_pressure_score,target_60m_mean_proxy,6,30m,B35,20,3625162,0.003198749610580204,0.00010050356,0.65
daily_pressure_score,target_60m_mean_proxy,3,15m,B50,20,3561240,0.0010705260365463664,6.727087e-05,0.65
daily_pressure_score,target_60m_mean_proxy,3,15m,B35,20,3567916,0.0014174538155972472,7.5413875e-05,0.65
daily_pressure_score,target_60m_mean_proxy,3,30m,B50,20,2766681,0.003738297100775495,9.513064e-05,0.65
daily_pressure_score,target_60m_mean_proxy,3,30m,B35,20,2775331,0.003849830203850857,9.8874596e-05,0.65
daily_pressure_score,target_60m_mean_proxy,11,15m,B50,20,2517169,0.001960940778303465,7.968196e-05,0.65
daily_pressure_score,target_60m_mean_proxy,11,15m,B35,20,2543623,0.0023575659077859175,9.304529e-05,0.65
daily_pressure_score,target_60m_mean_proxy,11,30m,B50,20,2645073,0.0017902335596490702,5.532165e-05,0.5
daily_pressure_score,target_60m_mean_proxy,11,30m,B35,20,2647242,0.0018472428285987792,5.6143246e-05,0.5
daily_underreaction_score,target_5m_mean_proxy,9,15m,B50,20,3625064,0.05277391130469672,0.0005314245,1.0
daily_underreaction_score,target_5m_mean_proxy,9,15m,B35,20,3698295,0.05263022735518029,0.00053002685,1.0
daily_underreaction_score,target_5m_mean_proxy,9,30m,B50,20,4588870,0.05438332046115907,0.00057416223,1.0
