penalty_start_depth,groups,avg_leaf_count,median_leaf_size,p90_leaf_size,max_leaf_size,mean_top_sector_share,median_top_sector_share,p90_top_sector_share,mean_top_industry_share,sector_pure_50,sector_pure_60,sector_pure_80
1,2254,63.660603371783495,10.0,18.0,3878,0.29562340909226914,0.2782823349842307,0.39815830852880374,0.20722637689539233,5805,752,7
2,2254,67.10514640638864,10.0,18.60000000000001,3878,0.2944651674212811,0.2768561828803876,0.39706568061787123,0.2065264164872265,5881,766,6
3,2254,67.10514640638864,10.0,18.60000000000001,3878,0.2944651674212811,0.2768561828803876,0.39706568061787123,0.2065264164872265,5881,766,6
